iter	Passed	Remaining
578	4632	3368
579	4639	3359
580	4648	3352
581	4655	3343
582	4663	3335
583	4671	3327
584	4680	3320
585	4687	3311
586	4695	3303
587	4701	3294
588	4709	3286
589	4717	3278
590	4724	3269
591	4731	3260
592	4737	3251
593	4746	3244
594	4753	3235
595	4762	3228
596	4769	3219
597	4777	3211
598	4799	3213
599	4816	3211
600	4828	3205
601	4837	3198
602	4845	3190
603	4853	3182
604	4861	3174
605	4869	3165
606	4877	3157
607	4885	3149
608	4892	3141
609	4900	3133
610	4909	3125
611	4916	3117
612	4925	3109
613	4932	3101
614	4941	3093
615	4947	3084
616	4955	3075
617	4962	3067
618	4970	3059
619	4977	3050
620	4985	3042
621	4992	3034
622	5000	3025
623	5007	3017
624	5014	3008
625	5023	3001
626	5031	2993
627	5039	2985
628	5047	2976
629	5054	2968
630	5061	2960
631	5069	2952
632	5077	2943
633	5084	2935
634	5092	2927
635	5100	2919
636	5108	2911
637	5116	2902
638	5123	2894
639	5131	2886
640	5138	2878
641	5145	2869
642	5153	2861
643	5160	2852
644	5168	2844
645	5175	2836
646	5183	2827
647	5190	2819
648	5199	2811
649	5206	2803
650	5214	2795
651	5221	2786
652	5229	2779
653	5237	2770
654	5245	2762
655	5252	2754
656	5259	2745
657	5267	2737
658	5273	2729
659	5281	2720
660	5288	2712
661	5296	2704
662	5304	2696
663	5313	2688
664	5319	2679
665	5328	2672
666	5334	2663
667	5342	2655
668	5349	2646
669	5357	2638
670	5365	2630
671	5372	2622
672	5380	2614
673	5387	2605
674	5397	2598
675	5405	2590
676	5412	2582
677	5419	2573
678	5428	2566
679	5434	2557
680	5444	2550
681	5450	2541
682	5459	2533
683	5466	2525
684	5473	2517
685	5481	2508
686	5488	2500
687	5496	2492
688	5503	2484
689	5510	2475
690	5517	2467
691	5525	2459
692	5532	2450
693	5540	2443
694	5547	2434
695	5554	2426
696	5562	2418
697	5570	2410
698	5577	2401
699	5586	2394
700	5593	2385
701	5599	2377
702	5608	2369
703	5615	2361
704	5623	2353
705	5630	2344
706	5637	2336
707	5645	2328
708	5653	2320
709	5659	2311
710	5667	2303
711	5675	2295
712	5681	2286
713	5690	2279
714	5697	2271
715	5705	2263
716	5712	2254
717	5720	2246
718	5727	2238
719	5735	2230
720	5742	2222
721	5750	2214
722	5756	2205
723	5764	2197
724	5772	2189
725	5779	2181
726	5787	2173
727	5794	2165
728	5803	2157
729	5809	2148
730	5817	2140
731	5825	2132
732	5832	2124
733	5839	2116
734	5846	2107
735	5853	2099
736	5860	2091
737	5869	2083
738	5875	2075
739	5886	2068
740	5893	2059
741	5902	2052
742	5908	2043
743	5916	2035
744	5923	2027
745	5931	2019
746	5938	2011
747	5946	2003
748	5953	1995
749	5961	1987
750	5968	1978
751	5974	1970
752	5984	1962
753	5991	1954
754	5999	1946
755	6006	1938
756	6014	1930
757	6021	1922
758	6029	1914
759	6038	1906
760	6060	1903
761	6077	1898
762	6090	1891
763	6097	1883
764	6105	1875
765	6113	1867
766	6122	1859
767	6131	1852
768	6139	1844
769	6147	1836
770	6156	1828
771	6163	1820
772	6171	1812
773	6179	1804
774	6188	1796
775	6195	1788
776	6202	1780
777	6209	1771
778	6218	1764
779	6225	1755
780	6234	1748
781	6240	1739
782	6249	1731
783	6256	1723
784	6264	1715
785	6271	1707
786	6278	1699
787	6285	1691
788	6292	1682
789	6300	1674
790	6307	1666
791	6316	1659
792	6324	1650
793	6332	1642
794	6339	1634
795	6348	1626
796	6355	1618
797	6363	1610
798	6370	1602
799	6377	1594
800	6384	1586
801	6392	1578
802	6399	1570
803	6406	1561
804	6414	1553
